流水号,日期,部门,申请人姓名,费用类别,金额,审批状态
E2026010001,2026-01-06,销售部,王建军,差旅费,2860,已通过
E2026010002,2026-01-09,销售部,张伟,差旅费,1530,已通过
E2026010003,2026-01-13,销售部,李慧敏,招待费,2350,已通过
E2026010004,2026-01-19,销售部,刘洋,办公费,460,已通过
E2026010005,2026-01-26,销售部,陈静,差旅费,3180,审核中
E2026010006,2026-02-03,销售部,赵磊,办公费,860,已通过
E2026010007,2026-02-10,销售部,王建军,招待费,2980,已通过
E2026010008,2026-02-16,销售部,张伟,差旅费,2100,已通过
E2026010009,2026-02-24,销售部,李慧敏,差旅费,2450,已通过
E2026010010,2026-02-26,销售部,刘洋,培训费,1800,已通过
E2026010011,2026-03-04,销售部,陈静,办公费,680,已通过
E2026010012,2026-03-11,销售部,赵磊,差旅费,2750,已通过
E2026010013,2026-03-17,销售部,王建军,招待费,3260,已驳回
E2026010014,2026-03-24,销售部,张伟,差旅费,1680,已通过
E2026010015,2026-03-31,销售部,李慧敏,办公费,520,已通过
E2026010016,2026-04-08,销售部,刘洋,差旅费,1980,已通过
E2026010017,2026-04-14,销售部,陈静,设备费,5200,审核中
E2026010018,2026-04-21,销售部,赵磊,差旅费,2320,已通过
E2026010019,2026-04-27,销售部,王建军,办公费,920,已通过
E2026010020,2026-04-29,销售部,张伟,培训费,2600,已通过
E2026010021,2026-05-07,销售部,李慧敏,差旅费,3040,已通过
E2026010022,2026-05-13,销售部,刘洋,招待费,1850,已通过
E2026010023,2026-05-20,销售部,陈静,差旅费,1420,已通过
E2026010024,2026-05-27,销售部,赵磊,办公费,610,已驳回
E2026010025,2026-06-03,销售部,王建军,差旅费,3750,已通过
E2026010026,2026-06-10,销售部,张伟,招待费,2680,已通过
E2026010027,2026-06-18,销售部,李慧敏,办公费,760,已通过
E2026010028,2026-06-25,销售部,刘洋,差旅费,2210,审核中
E2026010029,2026-07-02,销售部,陈静,培训费,2880,已通过
E2026010030,2026-07-09,销售部,赵磊,培训费,3400,已通过
E2026010031,2026-07-16,销售部,王建军,办公费,1080,已通过
E2026010032,2026-07-28,销售部,张伟,招待费,2560,已通过
E2026010033,2026-08-05,销售部,李慧敏,差旅费,3320,审核中
E2026010034,2026-08-12,销售部,刘洋,招待费,1940,已通过
E2026010035,2026-08-20,销售部,陈静,设备费,6800,已驳回
E2026010036,2026-08-27,销售部,赵磊,办公费,540,已通过
E2026010037,2026-01-07,市场部,孙丽华,差旅费,1860,已通过
E2026010038,2026-01-12,市场部,吴婷,办公费,720,已通过
E2026010039,2026-01-16,市场部,周明,招待费,3280,已通过
E2026010040,2026-01-22,市场部,郑浩,差旅费,2540,已通过
